Id;Idade;Sexo;Estado Civil;Sinistros;Prêmio;Categoria;Desconto
111;74;F;solteiro;4;782.0634518558234;Sênior;782.0634518558234
112;29;M;solteiro;3;894.6201165606659;Jovem;894.6201165606659
113;66;M;casado;6;1216.2991808406507;Sênior;1216.2991808406507
114;104;M;casado;1;1183.9787056707105;Sênior;1183.9787056707105
115;37;M;casado;;819.5363472750155;Adulto;819.5363472750155
116;88;M;viuvo;6;973.7489857450211;Sênior;973.7489857450211
117;30;F;casado;5;1000.8728305971179;Jovem;1000.8728305971179
118;27;F;viuvo;5;1187.1245264990544;Jovem;1187.1245264990544
119;41;F;divorciado;5;1232.4602859956572;Adulto;1232.4602859956572
120;108;F;divorciado;4;1172.6364293138577;Sênior;1172.6364293138577
121;43;M;viuvo;5;614.917394515583;Adulto;614.917394515583
122;45;M;viuvo;6;1176.3299426467795;Adulto;1176.3299426467795
123;72;F;casado;6;1074.1802583187264;Sênior;1074.1802583187264
124;36;M;solteiro;0;687.9589243178134;Adulto;619.1630318860321
125;40;F;divorciado;4;965.8494867539953;Adulto;965.8494867539953
126;48;M;viuvo;7;1034.5479610580967;Sênior;1034.5479610580967
127;79;F;solteiro;0;804.2519985259466;Sênior;723.826798673352
128;77;F;viuvo;7;890.1373937992641;Sênior;890.1373937992641
129;39;F;divorciado;7;368.6917990659638;Adulto;368.6917990659638
130;97;F;solteiro;1;845.9800902602433;Sênior;845.9800902602433
131;73;F;divorciado;3;657.97971105431;Sênior;657.97971105431
132;69;M;divorciado;0;906.3845527883911;Sênior;815.7460975095521
133;81;M;divorciado;2;1145.6693238246069;Sênior;1145.6693238246069
134;50;M;viuvo;5;804.4986851480123;Sênior;804.4986851480123
135;54;F;casado;;1131.3705671416756;Sênior;1131.3705671416756
136;109;F;viuvo;5;890.3559391070569;Sênior;890.3559391070569
137;73;F;casado;0;714.6763272623809;Sênior;643.2086945361428
138;41;F;viuvo;0;1057.9186766644964;Adulto;952.1268089980467
139;81;F;casado;5;1230.6834069731733;Sênior;1230.6834069731733
140;97;F;viuvo;7;1291.9065827809038;Sênior;1291.9065827809038
141;56;F;viuvo;;802.9161585899457;Sênior;802.9161585899457
142;46;F;viuvo;;818.9730830597522;Sênior;818.9730830597522
143;61;M;casado;;1250.8490426602866;Sênior;1250.8490426602866
144;41;F;casado;2;765.0425857771021;Adulto;765.0425857771021
145;79;M;viuvo;2;1180.1204475014133;Sênior;1180.1204475014133
146;50;F;casado;3;990.7997084273421;Sênior;990.7997084273421
147;76;M;solteiro;1;1552.306552667387;Sênior;1552.306552667387
148;71;M;viuvo;5;1065.961027559519;Sênior;1065.961027559519
149;79;F;divorciado;7;1001.9231041661244;Sênior;1001.9231041661244
150;71;F;solteiro;7;957.0651087563433;Sênior;957.0651087563433
151;77;F;casado;2;1222.5363360479887;Sênior;1222.5363360479887
152;93;M;solteiro;4;684.1366945014937;Sênior;684.1366945014937
153;53;F;viuvo;7;730.9673191562583;Sênior;730.9673191562583
154;99;F;casado;4;1341.2353976232744;Sênior;1341.2353976232744
155;100;M;viuvo;7;765.0195672638339;Sênior;765.0195672638339
156;66;F;solteiro;5;922.5193741970231;Sênior;922.5193741970231
157;94;F;divorciado;;1410.4291659509108;Sênior;1410.4291659509108
158;55;M;divorciado;4;1240.9392020654027;Sênior;1240.9392020654027
159;103;M;divorciado;2;990.6256257262049;Sênior;990.6256257262049
160;32;M;divorciado;;957.9433561304518;Adulto;957.9433561304518
161;32;M;viuvo;4;927.3338746968059;Adulto;927.3338746968059
162;53;M;casado;4;1325.4132062048677;Sênior;1325.4132062048677
163;34;M;casado;1;1168.398345141126;Adulto;1168.398345141126
164;25;F;viuvo;0;1180.181690798362;Jovem;1121.172606258444
165;106;F;solteiro;1;802.5780180863001;Sênior;802.5780180863001
166;70;M;viuvo;1;865.8928003505928;Sênior;865.8928003505928
167;56;F;viuvo;5;983.7574753365434;Sênior;983.7574753365434
168;32;M;casado;7;881.0282899077819;Adulto;881.0282899077819
169;44;F;divorciado;3;871.8209341371382;Adulto;871.8209341371382
170;58;M;viuvo;1;1101.4344084474071;Sênior;1101.4344084474071
171;33;F;solteiro;1;870.5979272662595;Adulto;870.5979272662595
172;51;M;casado;6;987.8872251745729;Sênior;987.8872251745729
173;96;M;casado;1;781.6626894758602;Sênior;781.6626894758602
174;74;M;viuvo;4;1339.253681200665;Sênior;1339.253681200665
175;87;F;divorciado;1;1086.3266752203044;Sênior;1086.3266752203044
176;36;M;viuvo;5;981.1619051494789;Adulto;981.1619051494789
177;72;F;solteiro;2;1219.503840953211;Sênior;1219.503840953211
178;54;M;solteiro;5;1295.2574177748577;Sênior;1295.2574177748577
179;51;F;solteiro;0;767.3191012608613;Sênior;690.5871911347753
180;22;M;solteiro;2;1460.976262945395;Jovem;1460.976262945395
181;38;M;divorciado;4;1541.5062402791946;Adulto;1541.5062402791946
182;83;F;divorciado;;1221.313498150298;Sênior;1221.313498150298
183;18;F;solteiro;;1003.449677022579;Jovem;1003.449677022579
184;105;M;solteiro;0;944.8150694803647;Sênior;850.3335625323283
185;88;F;casado;7;1073.2520682879788;Sênior;1073.2520682879788
186;28;F;casado;7;1017.6290689970058;Jovem;1017.6290689970058
187;55;F;divorciado;5;908.0222987292931;Sênior;908.0222987292931
188;55;F;solteiro;3;860.4893112556878;Sênior;860.4893112556878
189;34;M;divorciado;6;990.7487431609129;Adulto;990.7487431609129
190;102;M;divorciado;1;866.8252756821682;Sênior;866.8252756821682
191;65;F;divorciado;0;1336.0473332243487;Sênior;1202.4425999019138
192;108;F;viuvo;7;1185.0616472659638;Sênior;1185.0616472659638
193;35;M;viuvo;4;893.1668010942259;Adulto;893.1668010942259
194;102;M;viuvo;3;529.7366414237856;Sênior;529.7366414237856
195;66;F;solteiro;7;1464.6051971874367;Sênior;1464.6051971874367
196;56;M;solteiro;;1027.2434784095037;Sênior;1027.2434784095037
197;68;M;viuvo;6;1073.5643979752674;Sênior;1073.5643979752674
198;40;F;viuvo;3;1209.5870719163497;Adulto;1209.5870719163497
199;59;M;divorciado;7;1004.5345505272422;Sênior;1004.5345505272422
200;61;F;casado;5;784.4588763113993;Sênior;784.4588763113993
201;57;M;casado;0;1143.3647055711267;Sênior;1029.0282350140142
202;107;F;solteiro;1;1187.6687273670411;Sênior;1187.6687273670411
203;40;M;solteiro;2;702.7629999911002;Adulto;702.7629999911002
204;41;F;viuvo;4;989.3309623622447;Adulto;989.3309623622447
205;60;F;solteiro;4;1119.6154773645;Sênior;1119.6154773645
206;109;M;divorciado;1;791.6656809317884;Sênior;791.6656809317884
207;92;M;divorciado;6;1069.7369497352609;Sênior;1069.7369497352609
208;96;M;viuvo;4;1299.4578848881472;Sênior;1299.4578848881472
209;39;M;divorciado;2;1076.8500187446418;Adulto;1076.8500187446418
210;47;M;divorciado;6;1006.531193714619;Sênior;1006.531193714619
211;47;F;divorciado;2;1127.916469311501;Sênior;1127.916469311501
212;98;M;viuvo;4;1181.9450811784795;Sênior;1181.9450811784795
213;78;M;solteiro;7;1003.9883296017387;Sênior;1003.9883296017387
214;106;F;divorciado;1;889.9395580914118;Sênior;889.9395580914118
215;100;M;divorciado;6;1113.4033039512342;Sênior;1113.4033039512342
216;53;M;solteiro;7;1006.3657201383816;Sênior;1006.3657201383816
217;48;M;solteiro;6;1104.7784817234333;Sênior;1104.7784817234333
218;23;M;viuvo;3;809.1654289087745;Jovem;809.1654289087745
219;76;M;divorciado;0;706.2637173854187;Sênior;635.6373456468768
220;94;M;casado;0;951.1398692901738;Sênior;856.0258823611564
221;95;M;solteiro;3;1230.2810007588612;Sênior;1230.2810007588612
222;33;M;viuvo;3;986.8341186456091;Adulto;986.8341186456091
223;75;M;viuvo;7;1076.4195199041599;Sênior;1076.4195199041599
224;80;F;casado;6;796.1452037050394;Sênior;796.1452037050394
225;104;M;solteiro;3;663.1551125270782;Sênior;663.1551125270782
226;93;M;divorciado;7;1012.1578483496378;Sênior;1012.1578483496378
227;26;M;divorciado;0;1213.426849538621;Jovem;1152.7555070616897
228;25;M;divorciado;5;1034.0846676817162;Jovem;1034.0846676817162
229;70;M;viuvo;5;1184.7145273102756;Sênior;1184.7145273102756
230;61;F;solteiro;3;692.3337935633482;Sênior;692.3337935633482
231;51;F;divorciado;4;956.0818327045547;Sênior;956.0818327045547
232;38;M;viuvo;3;1015.6023625730043;Adulto;1015.6023625730043
233;81;F;solteiro;4;1432.8134623049193;Sênior;1432.8134623049193
234;72;M;solteiro;6;1235.9211488962303;Sênior;1235.9211488962303
235;46;M;solteiro;3;889.2803806418722;Sênior;889.2803806418722
236;71;F;viuvo;4;959.0095282860336;Sênior;959.0095282860336
237;61;F;divorciado;0;994.864943109985;Sênior;895.3784487989865
238;94;M;viuvo;5;1001.016067160121;Sênior;1001.016067160121
239;22;F;solteiro;3;1192.5187597860413;Jovem;1192.5187597860413
240;82;F;divorciado;0;993.1798557925713;Sênior;893.8618702133142
241;76;F;solteiro;7;1249.2068990841458;Sênior;1249.2068990841458
242;64;M;divorciado;0;1311.4273020343214;Sênior;1180.2845718308893
243;60;M;viuvo;6;624.4162282226382;Sênior;624.4162282226382
244;75;M;casado;3;654.5638236989967;Sênior;654.5638236989967
245;100;M;solteiro;5;1105.2539360702133;Sênior;1105.2539360702133
246;82;M;divorciado;7;1042.4393505315616;Sênior;1042.4393505315616
247;65;M;divorciado;6;849.4039333170415;Sênior;849.4039333170415
248;58;F;solteiro;;787.1910952147941;Sênior;787.1910952147941
249;93;M;viuvo;2;1004.2503403265112;Sênior;1004.2503403265112
250;69;M;divorciado;3;778.4299981135725;Sênior;778.4299981135725
251;34;F;casado;5;1115.4343014225226;Adulto;1115.4343014225226
252;109;F;divorciado;;1078.1432083659872;Sênior;1078.1432083659872
253;65;F;divorciado;;1076.9354799491273;Sênior;1076.9354799491273
254;98;F;divorciado;5;1313.039190302354;Sênior;1313.039190302354
255;66;M;solteiro;4;853.9635124897435;Sênior;853.9635124897435
256;71;M;casado;6;1327.790622115203;Sênior;1327.790622115203
257;98;M;viuvo;5;1118.674811727967;Sênior;1118.674811727967
258;96;M;solteiro;;1040.856746297285;Sênior;1040.856746297285
259;45;F;divorciado;4;930.1437406834633;Adulto;930.1437406834633
260;18;F;divorciado;2;1026.2753286042396;Jovem;1026.2753286042396
261;85;F;solteiro;;1298.173152636346;Sênior;1298.173152636346
262;75;M;casado;2;1234.3628432147232;Sênior;1234.3628432147232
263;54;F;divorciado;6;704.3307452896247;Sênior;704.3307452896247
264;103;F;viuvo;6;1123.5760668267715;Sênior;1123.5760668267715
265;87;M;divorciado;7;1024.1452357384217;Sênior;1024.1452357384217
266;35;M;divorciado;2;1237.141502224135;Adulto;1237.141502224135
267;91;M;viuvo;1;922.6066893860354;Sênior;922.6066893860354
268;20;M;divorciado;6;862.3437857579207;Jovem;862.3437857579207
269;49;F;casado;;1379.709099285882;Sênior;1379.709099285882
270;18;M;divorciado;5;864.6641328076232;Jovem;864.6641328076232
271;43;F;viuvo;0;1147.5168705722172;Adulto;1032.7651835149954
272;83;F;divorciado;7;976.6572354374513;Sênior;976.6572354374513
273;48;M;viuvo;4;1052.4270902423236;Sênior;1052.4270902423236
274;105;M;viuvo;4;936.1586589258734;Sênior;936.1586589258734
275;70;F;divorciado;0;699.9611250331652;Sênior;629.9650125298488
276;55;F;solteiro;3;1196.8531884283743;Sênior;1196.8531884283743
277;29;M;viuvo;6;1011.4158554672583;Jovem;1011.4158554672583
278;45;M;divorciado;0;869.8697363889862;Adulto;782.8827627500876
279;61;M;viuvo;2;958.3490905063034;Sênior;958.3490905063034
280;57;M;divorciado;4;1359.3644614480572;Sênior;1359.3644614480572
281;100;M;solteiro;4;795.1684175016778;Sênior;795.1684175016778
282;94;F;divorciado;1;762.2686814190326;Sênior;762.2686814190326
283;58;F;divorciado;3;1059.4666914375896;Sênior;1059.4666914375896
284;86;M;solteiro;5;1160.1359264267674;Sênior;1160.1359264267674
285;20;F;solteiro;1;1012.3216551642472;Jovem;1012.3216551642472
286;80;F;divorciado;4;727.9068553732823;Sênior;727.9068553732823
287;75;F;casado;7;847.936468636315;Sênior;847.936468636315
288;31;M;casado;5;1050.8662378110537;Adulto;1050.8662378110537
289;65;F;viuvo;1;1152.4477878470072;Sênior;1152.4477878470072
290;100;M;viuvo;3;1114.762480951976;Sênior;1114.762480951976
291;29;M;divorciado;2;910.8081241593331;Jovem;910.8081241593331
292;43;F;casado;5;912.5814914023576;Adulto;912.5814914023576
293;93;F;viuvo;7;1031.2593037380839;Sênior;1031.2593037380839
294;63;M;viuvo;;981.3960656015826;Sênior;981.3960656015826
295;67;M;casado;0;983.986968388581;Sênior;885.5882715497229
296;24;F;viuvo;4;832.7119254273058;Jovem;832.7119254273058
297;95;F;viuvo;2;1195.0959534619635;Sênior;1195.0959534619635
298;46;M;viuvo;;1189.5079266824016;Sênior;1189.5079266824016
299;85;M;viuvo;5;968.6274900606807;Sênior;968.6274900606807
300;58;M;viuvo;6;975.018606405795;Sênior;975.018606405795
301;105;M;divorciado;5;882.5541472205975;Sênior;882.5541472205975
302;46;F;solteiro;1;1021.94649772154;Sênior;1021.94649772154
303;84;F;solteiro;5;1317.3660387098835;Sênior;1317.3660387098835
304;109;F;viuvo;6;1065.59458840474;Sênior;1065.59458840474
305;46;M;casado;3;660.0340037188099;Sênior;660.0340037188099
306;91;F;casado;3;1041.4821595609735;Sênior;1041.4821595609735
307;76;F;solteiro;3;1117.4076446144597;Sênior;1117.4076446144597
308;27;F;divorciado;3;799.0477348879418;Jovem;799.0477348879418
309;70;F;viuvo;1;1065.2489723388132;Sênior;1065.2489723388132
310;92;M;casado;1;1037.0755072691118;Sênior;1037.0755072691118
311;77;F;viuvo;7;1164.3856880618487;Sênior;1164.3856880618487
312;50;M;solteiro;1;910.976846500467;Sênior;910.976846500467
313;88;M;viuvo;;1173.1065061831039;Sênior;1173.1065061831039
314;57;F;divorciado;5;690.0722363544731;Sênior;690.0722363544731
315;109;F;viuvo;0;636.4172612750108;Sênior;572.7755351475097
316;56;F;viuvo;6;733.380213548817;Sênior;733.380213548817
317;23;F;viuvo;4;1117.5124022557256;Jovem;1117.5124022557256
318;43;M;casado;2;588.3239575447221;Adulto;588.3239575447221
319;46;F;viuvo;5;803.3720271399127;Sênior;803.3720271399127
320;75;M;viuvo;5;1307.2137980056054;Sênior;1307.2137980056054
321;50;M;viuvo;7;821.5092634469389;Sênior;821.5092634469389
322;93;F;viuvo;3;1081.6386532188826;Sênior;1081.6386532188826
323;85;M;casado;6;1061.1401663074787;Sênior;1061.1401663074787
324;19;F;casado;2;1237.4955921035435;Jovem;1237.4955921035435
325;85;F;divorciado;1;860.4223271507408;Sênior;860.4223271507408
326;103;F;solteiro;5;1015.0150247281202;Sênior;1015.0150247281202
327;36;F;divorciado;4;1068.0873320731703;Adulto;1068.0873320731703
328;56;M;divorciado;2;1364.818337144036;Sênior;1364.818337144036
329;109;M;casado;4;1247.8402238650522;Sênior;1247.8402238650522
330;92;M;solteiro;3;1295.5252995121464;Sênior;1295.5252995121464
331;27;M;solteiro;2;1000.4716933422379;Jovem;1000.4716933422379
332;73;F;divorciado;3;930.301244533895;Sênior;930.301244533895
333;63;M;divorciado;3;921.040690643517;Sênior;921.040690643517
334;88;M;casado;4;1061.204411119178;Sênior;1061.204411119178
335;85;M;divorciado;;1119.3925656494946;Sênior;1119.3925656494946
336;73;F;casado;3;867.0634315710173;Sênior;867.0634315710173
337;74;F;casado;6;912.983770113381;Sênior;912.983770113381
338;18;M;casado;;1080.5647003091535;Jovem;1080.5647003091535
339;91;F;solteiro;1;1133.487010404398;Sênior;1133.487010404398
340;24;M;casado;5;1006.418582641126;Jovem;1006.418582641126
341;27;M;viuvo;2;963.4358984272865;Jovem;963.4358984272865
342;71;M;divorciado;4;722.5849884814656;Sênior;722.5849884814656
343;52;F;divorciado;7;712.4154013231629;Sênior;712.4154013231629
344;85;M;viuvo;5;858.8221751153053;Sênior;858.8221751153053
345;23;F;solteiro;0;1072.1964094625853;Jovem;1018.586588989456
346;96;F;casado;4;1181.7659788624055;Sênior;1181.7659788624055
347;60;M;casado;3;481.9558064106716;Sênior;481.9558064106716
348;52;F;viuvo;6;968.4577464454413;Sênior;968.4577464454413
349;22;M;divorciado;2;955.1562024217106;Jovem;955.1562024217106
350;20;M;solteiro;6;803.9728951814993;Jovem;803.9728951814993
351;89;F;divorciado;3;1017.2123165055175;Sênior;1017.2123165055175
352;18;M;divorciado;4;705.3592429727652;Jovem;705.3592429727652
353;30;M;casado;;1215.9428273651417;Jovem;1215.9428273651417
354;105;M;divorciado;6;1249.0790687242436;Sênior;1249.0790687242436
355;88;F;divorciado;1;1216.1311870659026;Sênior;1216.1311870659026
356;92;F;casado;1;1206.9611032023358;Sênior;1206.9611032023358
357;42;F;divorciado;4;885.9157875216407;Adulto;885.9157875216407
358;51;F;divorciado;5;861.2314130789578;Sênior;861.2314130789578
359;68;M;casado;7;1168.1907646821576;Sênior;1168.1907646821576
360;41;F;casado;3;786.1452402568201;Adulto;786.1452402568201
361;55;F;viuvo;1;952.5647254229145;Sênior;952.5647254229145
362;33;M;divorciado;7;1415.8760397722667;Adulto;1415.8760397722667
363;100;F;casado;3;946.5348733620964;Sênior;946.5348733620964
364;103;M;casado;6;984.0843898601181;Sênior;984.0843898601181
365;89;F;viuvo;0;1038.9294467974098;Sênior;935.0365021176689
366;51;F;viuvo;7;1038.3649599104317;Sênior;1038.3649599104317
367;72;F;viuvo;5;702.1370432302889;Sênior;702.1370432302889
368;107;F;solteiro;3;1081.814202911004;Sênior;1081.814202911004
369;44;M;divorciado;4;749.2866136954233;Adulto;749.2866136954233
370;72;M;viuvo;0;919.1360319457636;Sênior;827.2224287511873
371;82;M;solteiro;5;954.1526600499552;Sênior;954.1526600499552
372;44;M;divorciado;5;1131.206681218437;Adulto;1131.206681218437
373;88;M;viuvo;5;1039.8216736302682;Sênior;1039.8216736302682
374;39;M;solteiro;2;1245.6131918491924;Adulto;1245.6131918491924
375;18;F;viuvo;1;1397.6146092080185;Jovem;1397.6146092080185
376;39;M;divorciado;;990.1345111074347;Adulto;990.1345111074347
377;105;M;casado;0;1148.9016410152985;Sênior;1034.0114769137688
378;75;F;viuvo;7;616.0538357540356;Sênior;616.0538357540356
379;66;M;casado;3;1218.8202836790588;Sênior;1218.8202836790588
380;73;F;divorciado;2;1017.7304386251689;Sênior;1017.7304386251689
381;70;F;divorciado;7;1380.1029043873189;Sênior;1380.1029043873189
382;50;F;divorciado;6;814.1006044110948;Sênior;814.1006044110948
383;80;F;divorciado;6;928.423436148429;Sênior;928.423436148429
384;98;F;divorciado;7;1175.334772888642;Sênior;1175.334772888642
385;44;F;divorciado;6;955.8594637406469;Adulto;955.8594637406469
386;99;M;divorciado;2;1036.3545987009536;Sênior;1036.3545987009536
387;37;M;casado;6;1018.6988717887598;Adulto;1018.6988717887598
388;102;F;casado;;858.3582732661614;Sênior;858.3582732661614
389;40;F;casado;5;1123.4610514168712;Adulto;1123.4610514168712
390;54;F;casado;;584.6554864396796;Sênior;584.6554864396796
391;97;F;solteiro;1;913.937036199548;Sênior;913.937036199548
392;25;F;viuvo;5;1013.2148020596637;Jovem;1013.2148020596637
393;106;M;divorciado;;981.8785807966922;Sênior;981.8785807966922
394;73;F;divorciado;5;839.7765636560134;Sênior;839.7765636560134
395;73;M;casado;1;1158.8387045145819;Sênior;1158.8387045145819
396;68;F;divorciado;5;797.8300612920495;Sênior;797.8300612920495
397;60;M;solteiro;4;842.8487443189844;Sênior;842.8487443189844
398;91;M;viuvo;4;722.5368317516081;Sênior;722.5368317516081
399;59;M;divorciado;;760.4002284752288;Sênior;760.4002284752288
400;102;M;divorciado;4;1198.665373584343;Sênior;1198.665373584343
401;26;F;divorciado;;868.9794276066744;Jovem;868.9794276066744
402;72;F;viuvo;2;1177.6866110464807;Sênior;1177.6866110464807
403;52;F;divorciado;4;1043.8663881893347;Sênior;1043.8663881893347
404;72;F;casado;3;1117.8511759856065;Sênior;1117.8511759856065
405;54;M;solteiro;4;520.4977108491307;Sênior;520.4977108491307
406;22;M;viuvo;4;654.1549639087482;Jovem;654.1549639087482
